temperature,top_p,completion_tokens,total_tokens,finish_reason,response_length
0.0,0.3,1819,2734,stop,8644
0.0,0.5,1135,2050,stop,5466
0.0,0.7,1833,2748,stop,8732
0.0,0.9,1834,2749,stop,8760
0.0,1.0,1823,2738,stop,8653
0.3,0.3,1144,2059,stop,5466
0.3,0.5,1114,2029,stop,5322
0.3,0.7,6222,7137,stop,29946
0.3,0.9,1934,2849,stop,9219
0.3,1.0,1742,2657,stop,8282
0.5,0.3,1126,2041,stop,5334
0.5,0.5,2209,3124,stop,10483
0.5,0.7,2213,3128,stop,10580
0.5,0.9,1050,1965,stop,4885
0.5,1.0,1336,2251,stop,6259
0.7,0.3,1803,2718,stop,8699
0.7,0.5,1148,2063,stop,5520
0.7,0.7,1398,2313,stop,6576
0.7,0.9,1178,2093,stop,5711
0.7,1.0,1060,1975,stop,5086
1.0,0.3,1814,2729,stop,8616
1.0,0.5,1134,2049,stop,5503
1.0,0.7,1500,2415,stop,7224
1.0,0.9,1616,2531,stop,7479
1.0,1.0,1403,2318,stop,6763
1.5,0.3,1793,2708,stop,8582
1.5,0.5,1113,2028,stop,5273
1.5,0.7,2222,3137,stop,10485
1.5,0.9,1117,2032,stop,5381
1.5,1.0,3305,4220,stop,15955
